name,artists,popularity,danceability,valence,energy,explicit,key,liveness,loudness,speechiness,tempo,cluster,cluster_name
Plains Of Kildare,"['Andy Irvine', 'Paul Brady', 'Dónal Lunny', 'Kevin Burke']",29,0.557,0.802,0.464,0,9,0.288,-9.219,0.0344,87.72200000000002,0,Party
Sweet Burgundy,['Tommy Bolin'],23,0.6729999999999999,0.688,0.517,0,7,0.0929,-9.675,0.0269,99.84,0,Party
Ships In The Night - 2018 Remaster,['Be Bop Deluxe'],34,0.706,0.757,0.613,0,0,0.134,-7.876,0.0567,130.006,0,Party
Subway,['Bee Gees'],30,0.581,0.927,0.502,0,5,0.247,-11.8,0.0293,126.458,0,Party
Watching the Apples Grow,['Stan Rogers'],25,0.665,0.95,0.785,0,2,0.253,-6.859,0.0326,127.121,0,Party
Takin' It to the Streets - Single Version,"['The Doobie Brothers', 'James Taylor']",21,0.638,0.961,0.453,0,0,0.359,-16.712,0.033,146.29,0,Party
The Ballad Of Laverne And Captain Flint,['Guy Clark'],19,0.672,0.632,0.514,0,4,0.0974,-10.517,0.194,80.512,0,Party
Mentira,['Héctor Lavoe'],30,0.502,0.852,0.528,0,8,0.277,-9.14,0.0455,83.12899999999998,0,Party
On the Sunny Side of the Street,['James Booker'],24,0.565,0.517,0.203,0,3,0.26,-21.655,0.0454,133.843,3,Balanced
The Little Drummer Boy,['The Salsoul Orchestra'],24,0.677,0.736,0.504,0,9,0.095,-10.166,0.0558,124.018,0,Party
Kerry,['Daryl Hall & John Oates'],22,0.537,0.8320000000000001,0.7609999999999999,0,0,0.485,-6.513,0.0434,128.739,0,Party
"Lakeside Park - Live At Massey Hall, Toronto / 1976",['Rush'],22,0.349,0.436,0.752,0,7,0.514,-9.435,0.0446,92.685,1,Workout
"I Saw Her Standing There - Live From Madison Square Garden, USA/1974","['Elton John', 'John Lennon']",28,0.332,0.607,0.946,0,4,0.688,-5.256,0.0721,163.363,4,Energetic
The Dancer,['Stanley Clarke'],25,0.61,0.925,0.716,0,9,0.0565,-14.627,0.0401,99.757,0,Party
Louisiana Women - Live in Texas - September 1974,['Waylon Jennings'],20,0.386,0.524,0.6729999999999999,0,9,0.949,-10.275,0.0307,87.956,1,Workout
I'm Looking for Blue Eyes,['Jessi Colter'],21,0.6829999999999999,0.484,0.147,0,5,0.0979,-13.554,0.0349,108.401,3,Balanced
Blitzkrieg Bop - Single Version,['Ramones'],28,0.445,0.8590000000000001,0.802,0,9,0.189,-1.412,0.187,176.47799999999995,4,Energetic
Picasso's Last Words - Live / Remastered,['Wings'],26,0.424,0.495,0.285,0,7,0.357,-12.707,0.0364,90.328,3,Balanced
I Want You - Intro Jam 2,['Marvin Gaye'],23,0.565,0.831,0.521,0,1,0.674,-15.822,0.037,99.537,0,Party
Yo Lo Comprendo,['Los Terricolas'],27,0.354,0.36,0.685,0,7,0.0778,-5.223,0.0455,152.97899999999996,4,Energetic
A Light In The Black,['Rainbow'],32,0.334,0.0936,0.982,0,4,0.753,-10.19,0.0735,109.414,1,Workout
Telegram,['Nazareth'],19,0.436,0.515,0.7509999999999999,0,9,0.6779999999999999,-12.494000000000002,0.0979,152.872,4,Energetic
Biyo,"['Earth, Wind & Fire']",22,0.71,0.962,0.785,0,4,0.72,-9.673,0.0397,130.014,0,Party
Johnny Was - Alternate Mix,['Bob Marley & The Wailers'],28,0.6629999999999999,0.632,0.388,0,6,0.166,-10.074,0.0285,76.238,3,Balanced
Gator,['Jerry Reed'],20,0.5870000000000001,0.7340000000000001,0.723,0,11,0.15,-11.902,0.0639,93.033,0,Party
Slow Rollin' Low - Live in Texas - September 1974,['Waylon Jennings'],20,0.484,0.903,0.6659999999999999,0,2,0.966,-8.647,0.034,126.138,0,Party
Secrets,['The Runaways'],24,0.62,0.848,0.713,0,0,0.107,-10.813,0.0396,132.373,0,Party
Kung Fu Girls - Remastered,['Blondie'],25,0.309,0.737,0.755,0,9,0.114,-7.025,0.0565,169.1,4,Energetic
"Meus Filhos, Meu Tesouro",['Jorge Ben Jor'],31,0.425,0.517,0.882,0,8,0.0708,-5.226,0.0997,100.982,1,Workout
We're All Alone,['The Walker Brothers'],36,0.345,0.264,0.398,0,4,0.13,-13.383,0.0313,123.116,3,Balanced
Southside Shuffle - Live,['The J. Geils Band'],20,0.42,0.354,0.923,0,7,0.96,-8.69,0.28,153.333,4,Energetic
Spirits Of Ancient Egypt - Live / Remastered,['Wings'],26,0.351,0.541,0.763,0,11,0.979,-9.387,0.0647,131.484,1,Workout
The Silver Ghost,"['Merle Haggard', 'The Strangers']",20,0.586,0.485,0.266,0,11,0.104,-14.64,0.0502,98.637,3,Balanced
Juancito Trucupey,['Dimension Latina'],29,0.732,0.928,0.625,0,5,0.109,-9.3,0.0484,107.953,0,Party
Flor de las Flores,"['Al Hurricane, Jr.']",19,0.685,0.905,0.6709999999999999,0,7,0.346,-6.624,0.0546,119.977,0,Party
I Want You - Jam - Alternate Mix,['Marvin Gaye'],23,0.485,0.6859999999999999,0.879,0,1,0.151,-10.063,0.0477,101.26,1,Workout
Crazy,['Linda Ronstadt'],22,0.461,0.283,0.0262,0,11,0.111,-23.805,0.0368,112.489,2,Chill
Richard Cory - Live / Remastered,['Wings'],26,0.327,0.439,0.442,0,4,0.7929999999999999,-12.239,0.0363,145.42600000000004,4,Energetic
Up On The Mountain,['Dr. Hook'],30,0.8059999999999999,0.962,0.608,0,2,0.454,-9.71,0.0491,91.926,0,Party
The Great Compromise,['John Prine'],23,0.575,0.444,0.173,0,5,0.123,-17.452,0.0365,139.567,3,Balanced
Giant Steps,['Joe Pass'],25,0.54,0.478,0.0207,0,0,0.106,-27.606,0.0702,78.917,2,Chill
Broadway Hotel,['Al Stewart'],20,0.36,0.541,0.504,0,6,0.337,-9.732,0.0656,161.96200000000005,4,Energetic
Teo Torriatte (Let Us Cling Together) - Remastered 2011 / HD Mix,['Queen'],20,0.369,0.128,0.342,0,2,0.141,-9.03,0.0268,71.059,3,Balanced
Carry Me Away,['The Doobie Brothers'],22,0.76,0.962,0.421,0,0,0.0856,-16.15,0.0337,118.004,0,Party
Turn It Loose,['The Doobie Brothers'],21,0.662,0.966,0.741,0,2,0.132,-13.307,0.0299,133.282,0,Party
He's A Friend,['Eddie Kendricks'],23,0.628,0.743,0.759,0,0,0.115,-7.794,0.0422,104.932,0,Party
The Gardens of Babylon,['Jean-Luc Ponty'],25,0.465,0.778,0.51,0,6,0.116,-14.489,0.028,147.849,4,Energetic
Laid Back Country Picker - Live in Texas - September 1974,['Waylon Jennings'],20,0.569,0.8640000000000001,0.664,0,4,0.907,-9.934,0.0372,149.881,4,Energetic
Heaven and Hell,"['Waylon Jennings', 'Willie Nelson']",20,0.6659999999999999,0.5920000000000001,0.157,0,7,0.111,-17.41,0.0369,80.078,3,Balanced
Love Vibes,['Bootsy Collins'],22,0.659,0.79,0.337,0,5,0.066,-16.031,0.0656,76.911,3,Balanced
Now I Wanna Sniff Some Glue - 40th Anniversary Mono Mix,['Ramones'],26,0.255,0.777,0.852,0,2,0.244,0.289,0.0938,178.02599999999995,4,Energetic
So Good Woman,['Waylon Jennings'],21,0.698,0.594,0.0946,0,7,0.127,-17.802,0.0552,61.304,3,Balanced
Days on the Road - 2010 Remaster,['Little River Band'],26,0.608,0.401,0.357,0,9,0.107,-12.227,0.0329,119.023,3,Balanced
Goofus,['Carpenters'],20,0.618,0.67,0.297,0,0,0.0876,-15.035,0.104,76.73,3,Balanced
Sansho Shima,['Herbie Hancock'],26,0.3229999999999999,0.301,0.727,0,0,0.474,-13.336,0.0664,154.296,4,Energetic
Fiesta,['Gato Barbieri'],20,0.511,0.588,0.6940000000000001,0,9,0.112,-14.011,0.0486,108.865,3,Balanced
Hurt So Good,['Susan Cadogan'],22,0.684,0.816,0.586,0,10,0.149,-6.444,0.0592,145.263,0,Party
Lively Up Yourself - Live At The Roxy,['Bob Marley & The Wailers'],28,0.732,0.7440000000000001,0.8140000000000001,0,7,0.978,-5.525,0.125,134.19299999999998,0,Party
"Bennie And The Jets - Live From Madison Square Garden, USA/1974",['Elton John'],25,0.612,0.7070000000000001,0.794,0,9,0.983,-9.798,0.0428,132.678,0,Party
Out In The Streets - 2001 Digital Remaster,['Blondie'],24,0.691,0.5770000000000001,0.316,0,0,0.122,-10.672,0.0459,113.216,3,Balanced
Borderline,['Thin Lizzy'],19,0.463,0.267,0.322,0,6,0.131,-15.504,0.0359,144.649,3,Balanced
Blue Eyes Crying In the Rain,['Elvis Presley'],29,0.523,0.726,0.557,0,7,0.131,-11.343,0.0231,88.854,0,Party
Gitano,['Santana'],28,0.602,0.6459999999999999,0.799,0,9,0.0523,-12.071,0.0528,118.39,0,Party
We'll Have Forever To Love,['The Manhattans'],23,0.43,0.425,0.463,0,7,0.643,-9.577,0.0491,154.548,4,Energetic
Strange Love (Feel All My Love Inside) - Instrumental,['Marvin Gaye'],23,0.402,0.474,0.618,0,3,0.275,-11.064,0.0307,147.049,4,Energetic
Big Rig,['Jimmy Buffett'],19,0.531,0.89,0.619,0,2,0.308,-12.898,0.0402,156.811,4,Energetic
Come In From The Rain,['Melissa Manchester'],24,0.306,0.128,0.289,0,10,0.178,-11.817,0.0304,127.994,2,Chill
"Adagio For Strings, Op.11","['Samuel Barber', 'Academy of St. Martin in the Fields', 'Sir Neville Marriner']",24,0.0757,0.0311,0.0197,0,10,0.155,-25.35,0.047,75.447,2,Chill
Stop The World (And Let Me Off) - Live in Texas - September 1974,['Waylon Jennings'],20,0.347,0.906,0.7909999999999999,0,2,0.753,-8.838,0.0417,189.725,4,Energetic
Land Of Ladies,['The Brothers Johnson'],22,0.6990000000000001,0.409,0.322,0,11,0.115,-16.448,0.228,104.218,3,Balanced
Braces Tower Dub,"['King Tubby', 'Augustus Pablo']",25,0.905,0.436,0.37,0,0,0.131,-13.796,0.0523,124.84,3,Balanced
Tomorrow's Dream - 2014 Remaster,['Black Sabbath'],19,0.473,0.351,0.574,0,7,0.139,-12.65,0.0392,110.746,3,Balanced
Little Neutrino,['Klaatu'],24,0.317,0.0376,0.324,0,2,0.162,-11.789,0.033,84.199,2,Chill
This Old Man,['Styx'],21,0.396,0.273,0.384,0,9,0.117,-14.745,0.036,131.599,3,Balanced
Something For Nothing - Live,['Rush'],22,0.297,0.565,0.8240000000000001,0,2,0.989,-7.941,0.0648,141.202,4,Energetic
Southbound - Live At Winterland/1973,['Allman Brothers Band'],20,0.556,0.635,0.8109999999999999,0,5,0.197,-11.007,0.0358,126.531,0,Party
Can You Roll Her - 2007 Remaster,['UFO'],37,0.305,0.197,0.927,0,9,0.0736,-5.322,0.0775,107.679,1,Workout
Post-Crucifixion,['Pescado Rabioso'],51,0.509,0.562,0.58,0,7,0.478,-10.505999999999998,0.033,123.508,3,Balanced
Acaba Con Mi Corazon,['Ramon Ayala Y Sus Bravos Del Norte'],24,0.815,0.944,0.565,0,0,0.131,-6.227,0.0868,95.108,0,Party
Overture,['Average White Band'],19,0.252,0.118,0.204,0,6,0.1369999999999999,-15.183,0.0301,117.886,2,Chill
Sugaree - Live,"['Jerry Garcia Band', 'Jerry Garcia']",19,0.7120000000000001,0.534,0.263,0,4,0.71,-16.61,0.0336,113.496,3,Balanced
Flying Sorcery,['Al Stewart'],20,0.595,0.602,0.7340000000000001,0,2,0.101,-8.705,0.0301,90.094,0,Party
Decoupage,['Stan Kenton & His Orchestra'],20,0.5,0.573,0.503,0,7,0.0883,-13.601,0.0501,95.608,3,Balanced
Dolphin's Lullaby,['Firefall'],20,0.384,0.126,0.293,0,2,0.168,-14.763,0.0471,74.581,2,Chill
Pas de boogie woogie,['Eddy Mitchell'],49,0.526,0.727,0.843,0,5,0.36,-8.294,0.0701,87.913,0,Party
I'm Never Gonna Tell It,['Funkadelic'],24,0.629,0.805,0.6729999999999999,0,3,0.0798,-9.204,0.0908,81.705,0,Party
Yesterday's Wine,['Willie Nelson'],20,0.442,0.46,0.3720000000000001,0,4,0.29,-14.942,0.0694,176.366,4,Energetic
Smile Jamaica - Single Version - 1976,['Bob Marley & The Wailers'],27,0.901,0.6609999999999999,0.493,0,7,0.183,-9.287,0.0603,111.385,0,Party
Sometimes I Just Forget to Smile,['Michael Franks'],26,0.7659999999999999,0.721,0.457,0,1,0.07,-17.815,0.0331,137.686,3,Balanced
People And The World,['Roy Ayers Ubiquity'],24,0.52,0.475,0.765,0,1,0.13,-11.787,0.141,116.085,1,Workout
Chain Saw - 40th Anniversary Mono Mix,['Ramones'],26,0.274,0.743,0.987,0,9,0.768,0.15,0.121,183.505,4,Energetic
Just One of Those Things,['Stan Getz'],26,0.585,0.583,0.272,0,11,0.128,-16.692999999999998,0.0802,90.104,3,Balanced
Mind Blowing Decisions,['Heatwave'],27,0.701,0.695,0.361,0,0,0.127,-15.142,0.0585,92.81,3,Balanced
Shake It Well,['The Dramatics'],18,0.6509999999999999,0.948,0.7,0,6,0.0572,-12.104,0.275,178.005,4,Energetic
Starstruck - New York Mix,['Rainbow'],30,0.465,0.314,0.969,0,11,0.402,-9.224,0.049,141.52200000000005,1,Workout
Rat Race - Live At The Roxy,['Bob Marley & The Wailers'],29,0.674,0.797,0.647,0,9,0.759,-6.539,0.179,140.05200000000002,0,Party
Rock And Roll Music - Remastered,['The Beach Boys'],23,0.715,0.939,0.585,0,4,0.0439,-8.782,0.125,143.47299999999996,0,Party
Berta filava,['Rino Gaetano'],48,0.69,0.972,0.7490000000000001,0,0,0.106,-8.57,0.0336,114.04,0,Party
Crazy Creek,['Bill Keith'],20,0.463,0.8490000000000001,0.619,0,4,0.134,-11.902,0.0363,136.099,4,Energetic
New York City,['T. Rex'],19,0.378,0.7959999999999999,0.877,0,7,0.809,-2.926,0.0452,127.715,4,Energetic
That Lucky Old Sun (Just Rolls Around Heaven All Day),['Willie Nelson'],20,0.444,0.143,0.0638,0,0,0.438,-17.297,0.04,98.626,2,Chill
Cowboy Song - BBC Session 12/02/76,['Thin Lizzy'],24,0.507,0.606,0.607,0,6,0.0937,-11.241,0.0814,137.477,4,Energetic
Chimes - Live,['The J. Geils Band'],20,0.321,0.395,0.67,0,9,0.954,-10.356,0.0708,93.399,1,Workout
Tomorrow You'll Be Gone,['Marty Robbins'],21,0.628,0.49,0.146,0,4,0.117,-12.299,0.036,135.864,3,Balanced
After The Dance - Vocal - Extended Alternate Mix,['Marvin Gaye'],22,0.748,0.8059999999999999,0.637,0,1,0.156,-8.402000000000001,0.0387,112.74,0,Party
"Cheyenne Anthem - Live at the Palladium, New York, NY - December 1977",['Kansas'],24,0.246,0.209,0.6609999999999999,0,0,0.693,-6.2479999999999976,0.0363,78.235,1,Workout
Sixteen Bars,['The Stylistics'],20,0.483,0.593,0.685,0,9,0.302,-6.76,0.0278,104.097,1,Workout
Dúlamán,['Clannad'],31,0.624,0.847,0.487,0,9,0.158,-11.912,0.0412,130.532,0,Party
Skating Away (On the Thin Ice of the New Day),['Jethro Tull'],21,0.52,0.753,0.428,0,5,0.447,-10.886,0.0487,83.67299999999999,3,Balanced
God's Coloring Book,['Dolly Parton'],24,0.422,0.388,0.086,0,10,0.0943,-16.679000000000002,0.0345,165.178,2,Chill
Don't Go Home With Your Hard-On,['Leonard Cohen'],28,0.546,0.601,0.945,0,5,0.375,-9.199,0.0458,109.618,1,Workout
Sheena Is a Punk Rocker - 2017 Remaster,['Ramones'],32,0.42,0.846,0.965,0,0,0.0784,-1.986,0.0403,176.243,4,Energetic
Kind Hearted Woman,['George Thorogood & The Destroyers'],25,0.481,0.23,0.125,0,9,0.0699,-18.985,0.0335,106.102,2,Chill
Midwest Midnight - Live,['Michael Stanley Band'],20,0.393,0.454,0.535,0,9,0.66,-12.614,0.0336,136.534,3,Balanced
Reconozco Que Te Amo,['Binomio de Oro'],30,0.743,0.975,0.597,0,5,0.0712,-7.015,0.0618,146.751,0,Party
I Love You,['Donna Summer'],25,0.594,0.539,0.605,0,7,0.158,-12.837,0.0383,130.165,3,Balanced
Then She Kissed Me,['KISS'],27,0.581,0.5660000000000001,0.866,0,1,0.068,-6.7360000000000015,0.0349,126.402,1,Workout
One More Night,['Helen Reddy'],27,0.342,0.184,0.417,0,10,0.223,-7.688,0.0293,140.963,1,Workout
"La Traviata / Act 1: ""Follie! Delirio vano è questo!... Sempre libera""","['Giuseppe Verdi', 'Ileana Cotrubas', 'Plácido Domingo', 'Bavarian State Orchestra', 'Carlos Kleiber']",34,0.424,0.231,0.112,0,8,0.0715,-18.6,0.0586,117.373,2,Chill
You're All Talk,['Cheap Trick'],24,0.617,0.931,0.589,0,0,0.0528,-11.214,0.0378,127.162,0,Party
"Soul Sacrifice / Head, Hands & Feet",['Santana'],27,0.353,0.321,0.924,0,7,0.69,-9.765,0.0984,142.912,1,Workout
Funk Around the Punk,['Cortex'],29,0.5920000000000001,0.929,0.578,0,7,0.104,-11.431,0.0633,113.857,0,Party
Prendre un enfant,['Yves Duteil'],45,0.426,0.331,0.0924,0,3,0.145,-17.508,0.0319,130.38299999999998,2,Chill
Richochet,['David Grisman'],20,0.674,0.8370000000000001,0.212,0,7,0.0733,-18.772,0.0497,124.812,3,Balanced
Will to Love - 2016 Remaster,['Neil Young'],26,0.541,0.345,0.27,0,9,0.0999,-15.845,0.0384,119.959,3,Balanced
Easy To Fall,['Bob Welch'],23,0.7509999999999999,0.905,0.518,0,4,0.165,-12.753,0.0378,120.571,0,Party
War Is Coming! War Is Coming!,['War'],20,0.731,0.7509999999999999,0.867,0,9,0.1369999999999999,-10.796,0.0548,111.239,0,Party
Sou Mais o Samba,"['Candeia', 'Yvone Lara']",42,0.461,0.964,0.589,0,2,0.132,-7.5779999999999985,0.315,75.203,0,Party
Greyhound Bus,['Eric Clapton'],27,0.625,0.6629999999999999,0.441,0,7,0.119,-13.431,0.0306,117.505,3,Balanced
You Don't Bring Me Flowers - Solo Version,['Neil Diamond'],30,0.272,0.125,0.0448,0,0,0.0785,-22.925,0.0386,52.597,2,Chill
Sweet Love and Evil Women,['Johnny Winter'],29,0.597,0.772,0.715,0,7,0.424,-13.671,0.0482,106.983,0,Party
Dr. Funkenstein's Supergroovalisticprosifunkstication Medley - Live/1977,['Parliament'],22,0.33,0.345,0.855,0,5,0.524,-11.74,0.0554,186.49400000000003,4,Energetic
Rhapsody in Blue,['Walter Murphy'],27,0.616,0.49,0.557,0,10,0.128,-9.598,0.0522,115.745,3,Balanced
Jugando,['Santana'],27,0.336,0.354,0.975,0,2,0.764,-7.614,0.14,147.905,4,Energetic
Si Tú Te Vas,['Camilo Sesto'],31,0.502,0.59,0.513,0,1,0.043,-7.619,0.0287,140.431,4,Energetic
Earth Song,['Rufus & Chaka Khan'],24,0.494,0.599,0.423,0,2,0.0741,-16.834,0.0491,116.066,3,Balanced
My Rose,['Enchantment'],21,0.4370000000000001,0.594,0.49,0,11,0.107,-6.7,0.0419,170.231,4,Energetic
Four Play (feat. Maceo Parker),"['Fred Wesley & The Horny Horns', 'Maceo Parker', 'Mike E. Clark']",27,0.7709999999999999,0.8190000000000001,0.513,0,9,0.0724,-9.196,0.0796,92.561,0,Party
Natural Mystic,['Bob Marley & The Wailers'],28,0.8759999999999999,0.8009999999999999,0.282,0,7,0.0741,-12.618,0.319,130.958,0,Party
Jack and the Beanstalk,['The Sesame Street Cast'],21,0.615,0.36,0.181,0,1,0.221,-14.69,0.933,59.528,3,Balanced
Corrido Hermanos Bedolla,['Ramon Ayala Y Sus Bravos Del Norte'],20,0.5529999999999999,0.883,0.482,0,8,0.0548,-5.808,0.0554,175.824,4,Energetic
Carbona Not Glue - 2017 Remaster,['Ramones'],27,0.54,0.7,0.8809999999999999,0,2,0.313,-4.43,0.0316,90.126,1,Workout
Easy - Live / 1977,['Commodores'],28,0.361,0.29,0.535,0,10,0.491,-9.636,0.0354,138.634,1,Workout
Just Another Suicide - 2008 Remaster,['UFO'],26,0.505,0.78,0.843,0,4,0.11,-7.157,0.033,134.752,4,Energetic
Bad Reputation,['Thin Lizzy'],21,0.4,0.8390000000000001,0.862,0,1,0.103,-13.134,0.0518,124.576,4,Energetic
Junior Ragtime,['Raffi'],20,0.495,0.9,0.211,0,0,0.0553,-15.9,0.0336,167.422,4,Energetic
Down in Flames,['Dead Boys'],24,0.267,0.135,0.978,0,9,0.383,-10.085,0.222,125.265,1,Workout
Mister Mellow,['Maynard Ferguson'],21,0.5870000000000001,0.509,0.524,0,0,0.126,-9.583,0.0468,146.29,4,Energetic
Look Out For Number One,['Thomas Faragher'],30,0.8240000000000001,0.935,0.393,0,6,0.0679,-16.713,0.0425,122.53,0,Party
Nucleus,['The Alan Parsons Project'],27,0.191,0.0329,0.733,0,9,0.433,-13.757,0.0986,124.732,1,Workout
Exodus,['Bob Marley & The Wailers'],28,0.868,0.961,0.7440000000000001,0,7,0.172,-8.565,0.0502,132.836,0,Party
My Little Sister Gotta Motorbike,"['Crazy Cavan', 'The Rhythm Rockers']",38,0.446,0.718,0.816,0,9,0.339,-9.762,0.0766,183.696,4,Energetic
"La Sonnambula / Act 1: ""Perdona, o mia diletta...Prendi: L'anel ti dono""","['Vincenzo Bellini', 'Luciano Pavarotti', 'Dame Joan Sutherland', 'National Philharmonic Orchestra', 'Richard Bonynge']",32,0.281,0.108,0.151,0,8,0.109,-18.497,0.0568,79.316,2,Chill
Now I Wanna Be a Good Boy - 2017 Remaster,['Ramones'],27,0.609,0.961,0.7609999999999999,0,9,0.213,-4.128,0.0277,89.426,0,Party
As,['Gene Harris'],36,0.5589999999999999,0.8290000000000001,0.6659999999999999,0,4,0.0817,-12.343,0.0701,104.964,0,Party
The Old Country Waltz - 2016 Remaster,['Neil Young'],25,0.511,0.38,0.424,0,7,0.225,-8.388,0.0275,110.927,3,Balanced
"Rockin' In The U.S.A. - Live At Capitol Theatre, New Jersey / 1977",['KISS'],25,0.411,0.698,0.911,0,8,0.0595,-6.412999999999999,0.083,147.993,4,Energetic
Si maman si - Remasterisé en 2004,['France Gall'],47,0.513,0.257,0.537,0,7,0.122,-8.042,0.0295,113.053,1,Workout
Steady Rollin' Man - Live At Hammersmith Odeon,['Eric Clapton'],27,0.517,0.547,0.933,0,2,0.5760000000000001,-8.964,0.0531,93.623,1,Workout
Almost Human,['KISS'],25,0.294,0.706,0.938,0,1,0.234,-8.096,0.0618,184.315,4,Energetic
"Oh, Candy",['Cheap Trick'],23,0.496,0.61,0.778,0,2,0.0732,-7.608,0.0379,129.53799999999998,1,Workout
Slow Screw Against The Wall,['Rufus & Chaka Khan'],23,0.336,0.123,0.084,0,10,0.117,-22.803,0.029,91.857,2,Chill
I'm A Marionette,['ABBA'],33,0.458,0.1369999999999999,0.662,0,4,0.108,-6.811,0.0396,149.907,1,Workout
She's Nineteen Years Old - Live,['Muddy Waters'],28,0.412,0.585,0.623,0,0,0.962,-8.427,0.338,169.75400000000005,4,Energetic
Like You Do - Live on U.S. Tour - 1976,['REO Speedwagon'],20,0.334,0.524,0.907,0,7,0.908,-10.79,0.0628,91.185,1,Workout
The Highwayman,['Jimmy Webb'],33,0.5329999999999999,0.304,0.391,0,0,0.119,-10.512,0.0319,82.368,3,Balanced
Let It All Out,['Ram Jam'],30,0.47,0.633,0.905,0,0,0.26,-5.422999999999999,0.0585,85.905,1,Workout
Almost Human,['KISS'],25,0.312,0.682,0.949,0,1,0.816,-7.267,0.0879,184.29,4,Energetic
Country Music,['Charley Pride'],27,0.524,0.92,0.5479999999999999,0,7,0.131,-11.196,0.0314,175.08700000000005,4,Energetic
Golden Slumbers II,"['Big Bird', ""Sesame Street's Olivia""]",22,0.462,0.53,0.246,0,10,0.258,-8.54,0.0333,72.965,3,Balanced
Los Ojitos De Mi Elena,['Ramon Ayala Y Sus Bravos Del Norte'],19,0.61,0.8440000000000001,0.444,0,8,0.0923,-7.1679999999999975,0.0446,168.301,4,Energetic
Silver Lady,['David Soul'],42,0.715,0.768,0.494,0,11,0.0736,-12.807,0.0294,111.268,0,Party
"Main Title from ""Star Wars""",['Maynard Ferguson'],22,0.564,0.826,0.701,0,0,0.324,-10.119,0.0697,118.028,0,Party
Shed a Little Light,['James Taylor'],21,0.325,0.48,0.547,0,10,0.976,-8.511000000000001,0.0779,85.995,1,Workout
Over And Over - roule s'enroule,['Nana Mouskouri'],27,0.377,0.7120000000000001,0.233,0,11,0.404,-11.548,0.037,178.622,4,Energetic
Wonderous Stories - 2008 Remaster,['Yes'],19,0.386,0.144,0.606,0,4,0.0991,-9.369,0.0291,141.279,1,Workout
The Sweeping Wind (Kwa Ti Feng),['Jonathan Richman & The Modern Lovers'],26,0.527,0.363,0.4,0,2,0.178,-11.672,0.0482,93.063,3,Balanced
Warm Love,['Joan Armatrading'],29,0.57,0.444,0.181,0,10,0.104,-18.037,0.0326,96.227,3,Balanced
Day After Day (The Show Must Go On),['The Alan Parsons Project'],27,0.47,0.322,0.465,0,0,0.466,-11.612,0.0295,111.254,3,Balanced
You Are So Beautiful,['Joe Cocker'],43,0.373,0.108,0.0756,0,1,0.103,-18.731,0.0331,122.722,2,Chill
Pay It Back - \,['Elvis Costello'],23,0.792,0.866,0.665,0,7,0.0861,-9.555,0.0392,131.252,0,Party
Down To Love Town,['The Originals'],30,0.7290000000000001,0.892,0.664,0,1,0.343,-10.946,0.0283,122.473,0,Party
Who Was It - E.M.I.,['Sex Pistols'],28,0.409,0.115,0.971,0,10,0.124,-7.436,0.15,141.16899999999995,1,Workout
Carta jugada,['Los Relampagos Del Norte'],24,0.747,0.88,0.588,0,9,0.0369,-7.816,0.0458,117.745,0,Party
Let's Start It All Over Again,['The Manhattans'],23,0.7040000000000001,0.377,0.471,0,1,0.0794,-9.062,0.0436,136.236,3,Balanced
Days Are Numbers - The Traveller,['The Alan Parsons Project'],20,0.594,0.4920000000000001,0.52,0,0,0.0719,-13.177,0.0313,82.029,3,Balanced
Breakdown,['Buzzcocks'],26,0.273,0.55,0.979,0,4,0.162,-4.314,0.298,192.656,4,Energetic
E.M.D.,['David Grisman'],20,0.473,0.708,0.417,0,7,0.0951,-18.433,0.0416,154.04399999999995,3,Balanced
We're Gonna Hold On,"['George Jones', 'Tammy Wynette']",22,0.601,0.5870000000000001,0.361,0,10,0.119,-14.114,0.0274,74.447,3,Balanced
Even Though You're Gone,['The Jacksons'],25,0.541,0.617,0.404,0,10,0.212,-12.582,0.031,120.072,3,Balanced
Sweet Gene Vincent,['Ian Dury'],37,0.453,0.469,0.7759999999999999,1,0,0.086,-9.37,0.0734,155.703,4,Energetic
Satin Sheets,['Waylon Jennings'],21,0.706,0.8059999999999999,0.555,0,9,0.109,-12.049,0.0328,142.046,0,Party
Blessed,['The Emotions'],22,0.5820000000000001,0.775,0.598,0,7,0.126,-8.979,0.0474,84.205,0,Party
Jealousys,['Eddie Money'],22,0.6609999999999999,0.863,0.602,0,0,0.113,-12.496,0.0296,118.621,0,Party
Moody Girl,['Frank Stallone'],29,0.515,0.293,0.207,0,11,0.0711,-20.409,0.0363,83.01700000000002,2,Chill
I Wanna Be Well - 2017 Remaster,['Ramones'],29,0.609,0.939,0.939,0,2,0.1,-1.476,0.0302,130.865,0,Party
Excuse Me,['Peter Gabriel'],19,0.722,0.493,0.348,0,7,0.0573,-11.946,0.16,113.54,3,Balanced
Dance on a Volcano - Live in Paris,['Genesis'],21,0.354,0.594,0.523,0,3,0.37,-16.164,0.039,127.125,3,Balanced
He'll Have to Go,['Elvis Presley'],30,0.388,0.31,0.283,0,2,0.135,-13.451,0.0335,178.797,4,Energetic
Homegrown - 2016 Remaster,['Neil Young'],24,0.51,0.613,0.419,0,7,0.352,-7.08,0.0357,133.347,3,Balanced
Juke Box Music,['The Kinks'],22,0.417,0.623,0.49,0,2,0.14,-9.263,0.0302,140.80200000000005,4,Energetic
